Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,79,1960.00,1900.00,1900.00,11194.00,21449970.00,1937.90,-37.90
Shangrila Development Bank Ltd.,1262,454.00,440.00,447.00,266519.00,119627918.70,437.00,10.00
Shikhar Insurance Co. Ltd.,586,2142.00,2080.00,2080.00,40770.00,85756702.40,2100.00,-20.00
Shine Resunga Development Bank Ltd.,1007,475.00,463.00,471.00,237078.00,111583646.80,463.50,7.50
Shiva Shree Hydropower Ltd,769,399.80,376.00,398.00,180857.00,71237193.30,390.00,8.00
SHIVAM CEMENTS LTD,494,1570.00,1536.70,1560.00,48632.00,75503484.60,1549.00,11.00
Shree Investment Finance Co. Ltd.,426,550.00,524.40,526.00,81872.00,43627641.90,546.00,-20.00
Siddhartha Bank Limited,659,582.30,567.00,567.50,196093.00,111691379.40,571.00,-3.50
Siddhartha Equity Fund,46,16.20,15.87,16.03,242150.00,3876193.00,16.18,-0.15
Siddhartha Insurance Ltd.,358,1213.70,1185.00,1189.00,66292.00,79230557.50,1185.00,4.00
Siddhartha Investment Growth Scheme - 2,39,16.30,16.11,16.20,390350.00,6323299.50,16.50,-0.30
Sindhu Bikash Bank Ltd,1410,509.00,481.00,496.00,257483.00,128462831.30,473.00,27.00
Singati Hydro Energy Limited,879,537.00,513.00,531.00,65651.00,34621907.50,534.00,-3.00
Soaltee Hotel Limited,883,312.00,283.30,290.00,232486.00,68749550.30,295.00,-5.00
Standard Chartered Bank Limited,292,607.00,599.00,601.00,38017.00,22829249.10,604.00,-3.00
Summit Laghubitta Bittiya Sanstha Limited,29,1719.00,1690.00,1703.00,2126.00,3613145.30,1690.00,13.00
Sunrise Bank Limited,452,394.50,387.00,388.10,98368.00,38347493.00,392.10,-4.00
Sunrise Bluechip Fund,50,10.60,10.23,10.58,33545.00,349711.17,10.42,0.16
Sunrise First Mutual Fund,31,19.07,18.50,18.50,35020.00,653589.00,18.81,-0.31
Support Microfinance Bittiya Sanstha Ltd.,44,2900.00,2666.00,2765.00,1462.00,3987237.00,2815.00,-50.00
Surya Life Insurance Company Limited,445,1018.00,990.00,991.00,55435.00,55688582.60,997.00,-6.00
Suryodaya Laghubitta Bittiya Sanstha Ltd.,44,1830.00,1750.00,1829.00,1647.00,2973545.00,1780.00,49.00
Swabalamban Laghubitta Bittiya Sanstha Limited,110,1808.00,1787.00,1805.00,8921.00,16070369.90,1782.00,23.00
Swabhimaan Laghubitta Bittiya Sanstha Limited,48,2710.00,2553.00,2576.00,1459.00,3820093.10,2658.00,-82.00
Swarojgar Laghu Bitta Bikas Bank Ltd.,178,1569.90,1539.00,1548.00,17037.00,26528882.90,1552.00,-4.00
Synergy Power Development Ltd.,1109,605.00,580.20,605.00,250657.00,148603489.80,592.00,13.00
Taragaon Regency Hotel Limited,110,454.00,428.00,434.00,17785.00,7762284.50,438.00,-4.00
Unilever Nepal Limited,1,19698.10,19698.10,19698.10,10.00,196981.00,20100.10,-402.00
Union Hydropower Limited,467,421.00,404.50,410.90,70029.00,28773598.80,421.00,-10.10
United IDI Mardi RB Hydropower Limited.,624,632.00,570.00,627.00,82147.00,49496655.90,583.00,44.00
United Insurance Co. (Nepal) Ltd.,711,824.00,785.00,792.00,96391.00,77532402.30,803.00,-11.00
United Modi Hydropower Ltd.,2066,495.00,470.00,490.00,524492.00,254315473.50,486.00,4.00
UNIVERSAL POWER COMPANY LTD,1809,420.00,395.00,412.00,401455.00,164244789.40,414.00,-2.00
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,20,2310.00,2270.00,2290.00,443.00,1010096.00,2295.00,-5.00
Upper Tamakoshi Hydropower Ltd,913,719.50,703.00,703.10,94824.00,67188707.30,714.00,-10.00
Vijaya laghubitta Bittiya Sanstha Ltd.,67,1932.00,1899.00,1902.00,3574.00,6821322.00,1884.00,18.00
Womi Microfinance Bittiya Sanstha Ltd.,68,1690.00,1665.10,1674.00,3774.00,6315592.40,1673.00,1.00
Surya Life Insurance Company Limited,445,1018.00,990.00,991.00,55435.00,55688582.60,997.00,-6.00
Suryodaya Laghubitta Bittiya Sanstha Ltd.,44,1830.00,1750.00,1829.00,1647.00,2973545.00,1780.00,49.00
Swabalamban Laghubitta Bittiya Sanstha Limited,110,1808.00,1787.00,1805.00,8921.00,16070369.90,1782.00,23.00
Swabhimaan Laghubitta Bittiya Sanstha Limited,48,2710.00,2553.00,2576.00,1459.00,3820093.10,2658.00,-82.00
Swarojgar Laghu Bitta Bikas Bank Ltd.,178,1569.90,1539.00,1548.00,17037.00,26528882.90,1552.00,-4.00
Synergy Power Development Ltd.,1109,605.00,580.20,605.00,250657.00,148603489.80,592.00,13.00
Taragaon Regency Hotel Limited,110,454.00,428.00,434.00,17785.00,7762284.50,438.00,-4.00
Unilever Nepal Limited,1,19698.10,19698.10,19698.10,10.00,196981.00,20100.10,-402.00
Union Hydropower Limited,467,421.00,404.50,410.90,70029.00,28773598.80,421.00,-10.10
United IDI Mardi RB Hydropower Limited.,624,632.00,570.00,627.00,82147.00,49496655.90,583.00,44.00
United Insurance Co. (Nepal) Ltd.,711,824.00,785.00,792.00,96391.00,77532402.30,803.00,-11.00
United Modi Hydropower Ltd.,2066,495.00,470.00,490.00,524492.00,254315473.50,486.00,4.00
UNIVERSAL POWER COMPANY LTD,1809,420.00,395.00,412.00,401455.00,164244789.40,414.00,-2.00
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,20,2310.00,2270.00,2290.00,443.00,1010096.00,2295.00,-5.00
Upper Tamakoshi Hydropower Ltd,913,719.50,703.00,703.10,94824.00,67188707.30,714.00,-10.00
Vijaya laghubitta Bittiya Sanstha Ltd.,67,1932.00,1899.00,1902.00,3574.00,6821322.00,1884.00,18.00
Womi Microfinance Bittiya Sanstha Ltd.,68,1690.00,1665.10,1674.00,3774.00,6315592.40,1673.00,1.00
